filename,area_pixels,mean,intden
L_phi_000107.tif,65536,29.271927,1918365.000000
L_phi_000108.tif,65536,28.820572,1888785.000000
L_phi_000109.tif,65536,29.213562,1914540.000000
L_phi_000110.tif,65536,29.380875,1925505.000000
L_phi_000111.tif,65536,28.894501,1893630.000000
L_phi_000112.tif,65536,29.649353,1943100.000000
L_phi_000113.tif,65536,29.205780,1914030.000000
L_phi_000114.tif,65536,29.334183,1922445.000000
L_phi_000115.tif,65536,29.127960,1908930.000000
L_phi_000116.tif,65536,29.143524,1909950.000000
L_phi_000117.tif,65536,29.505386,1933665.000000
L_phi_000118.tif,65536,28.555984,1871445.000000
L_phi_000119.tif,65536,29.159088,1910970.000000
L_phi_000120.tif,65536,29.205780,1914030.000000
L_phi_000121.tif,65536,29.330292,1922190.000000
L_phi_000122.tif,65536,29.061813,1904595.000000
L_phi_000123.tif,65536,29.057922,1904340.000000
L_phi_000124.tif,65536,29.209671,1914285.000000
L_phi_000125.tif,65536,28.614349,1875270.000000
L_phi_000126.tif,65536,28.913956,1894905.000000
L_phi_000127.tif,65536,29.139633,1909695.000000
L_phi_000128.tif,65536,29.015121,1901535.000000
L_phi_000129.tif,65536,29.318619,1921425.000000
L_phi_000130.tif,65536,28.952866,1897455.000000
L_phi_000131.tif,65536,29.131851,1909185.000000
L_phi_000132.tif,65536,28.886719,1893120.000000
L_phi_000133.tif,65536,29.197998,1913520.000000
L_phi_000134.tif,65536,29.314728,1921170.000000
L_phi_000135.tif,65536,28.731079,1882920.000000
L_phi_000136.tif,65536,28.606567,1874760.000000
L_phi_000137.tif,65536,29.007339,1901025.000000
L_phi_000138.tif,65536,29.404221,1927035.000000
L_phi_000139.tif,65536,29.108505,1907655.000000
L_phi_000140.tif,65536,29.135742,1909440.000000
L_phi_000141.tif,65536,29.073486,1905360.000000
L_phi_000142.tif,65536,28.999557,1900515.000000
L_phi_000143.tif,65536,28.738861,1883430.000000
L_phi_000144.tif,65536,29.396439,1926525.000000
L_phi_000145.tif,65536,28.684387,1879860.000000
L_phi_000146.tif,65536,29.124069,1908675.000000
L_phi_000147.tif,65536,29.489822,1932645.000000
L_phi_000148.tif,65536,29.283600,1919130.000000
L_phi_000149.tif,65536,28.933411,1896180.000000
L_phi_000150.tif,65536,28.855591,1891080.000000
L_phi_000151.tif,65536,28.563766,1871955.000000
L_phi_000152.tif,65536,28.956757,1897710.000000
L_phi_000153.tif,65536,28.781662,1886235.000000
L_phi_000154.tif,65536,29.579315,1938510.000000
L_phi_000155.tif,65536,28.952866,1897455.000000
L_phi_000156.tif,65536,28.925629,1895670.000000
L_phi_000157.tif,65536,29.513168,1934175.000000
L_phi_000158.tif,65536,28.614349,1875270.000000
L_phi_000159.tif,65536,29.155197,1910715.000000
L_phi_000160.tif,65536,28.314743,1855635.000000
L_phi_000161.tif,65536,29.637680,1942335.000000
L_phi_000162.tif,65536,29.205780,1914030.000000
L_phi_000163.tif,65536,28.629913,1876290.000000
L_phi_000164.tif,65536,28.805008,1887765.000000
L_phi_000165.tif,65536,29.100723,1907145.000000
L_phi_000166.tif,65536,28.719406,1882155.000000
L_phi_000167.tif,65536,28.703842,1881135.000000
L_phi_000168.tif,65536,29.664917,1944120.000000
L_phi_000169.tif,65536,28.898392,1893885.000000
L_phi_000170.tif,65536,28.754425,1884450.000000
L_phi_000171.tif,65536,28.633804,1876545.000000
L_phi_000172.tif,65536,28.777771,1885980.000000
L_phi_000173.tif,65536,28.773880,1885725.000000
L_phi_000174.tif,65536,28.824463,1889040.000000
L_phi_000175.tif,65536,29.054031,1904085.000000
L_phi_000176.tif,65536,29.092941,1906635.000000
