filename,area_pixels,mean,intden
U_phi_000107.tif,65536,24.116364,1580490.000000
U_phi_000108.tif,65536,23.633881,1548870.000000
U_phi_000109.tif,65536,24.225311,1587630.000000
U_phi_000110.tif,65536,24.299240,1592475.000000
U_phi_000111.tif,65536,23.925705,1567995.000000
U_phi_000112.tif,65536,24.552155,1609050.000000
U_phi_000113.tif,65536,24.275894,1590945.000000
U_phi_000114.tif,65536,24.050217,1576155.000000
U_phi_000115.tif,65536,23.964615,1570545.000000
U_phi_000116.tif,65536,23.929596,1568250.000000
U_phi_000117.tif,65536,24.326477,1594260.000000
U_phi_000118.tif,65536,23.587189,1545810.000000
U_phi_000119.tif,65536,24.260330,1589925.000000
U_phi_000120.tif,65536,24.120255,1580745.000000
U_phi_000121.tif,65536,24.077454,1577940.000000
U_phi_000122.tif,65536,24.022980,1574370.000000
U_phi_000123.tif,65536,24.077454,1577940.000000
U_phi_000124.tif,65536,24.061890,1576920.000000
U_phi_000125.tif,65536,23.521042,1541475.000000
U_phi_000126.tif,65536,23.941269,1569015.000000
U_phi_000127.tif,65536,23.805084,1560090.000000
U_phi_000128.tif,65536,24.201965,1586100.000000
U_phi_000129.tif,65536,24.299240,1592475.000000
U_phi_000130.tif,65536,23.836212,1562130.000000
U_phi_000131.tif,65536,24.089127,1578705.000000
U_phi_000132.tif,65536,24.030762,1574880.000000
U_phi_000133.tif,65536,23.867340,1564170.000000
U_phi_000134.tif,65536,24.217529,1587120.000000
U_phi_000135.tif,65536,23.645554,1549635.000000
U_phi_000136.tif,65536,23.291473,1526430.000000
U_phi_000137.tif,65536,23.871231,1564425.000000
U_phi_000138.tif,65536,24.462662,1603185.000000
U_phi_000139.tif,65536,24.307022,1592985.000000
U_phi_000140.tif,65536,24.163055,1583550.000000
U_phi_000141.tif,65536,23.933487,1568505.000000
U_phi_000142.tif,65536,23.855667,1563405.000000
U_phi_000143.tif,65536,23.591080,1546065.000000
U_phi_000144.tif,65536,24.236984,1588395.000000
U_phi_000145.tif,65536,23.995743,1572585.000000
U_phi_000146.tif,65536,23.972397,1571055.000000
U_phi_000147.tif,65536,24.501572,1605735.000000
U_phi_000148.tif,65536,24.030762,1574880.000000
U_phi_000149.tif,65536,23.902359,1566465.000000
U_phi_000150.tif,65536,23.793411,1559325.000000
U_phi_000151.tif,65536,23.622208,1548105.000000
U_phi_000152.tif,65536,23.723373,1554735.000000
U_phi_000153.tif,65536,23.579407,1545300.000000
U_phi_000154.tif,65536,24.439316,1601655.000000
U_phi_000155.tif,65536,23.641663,1549380.000000
U_phi_000156.tif,65536,23.906250,1566720.000000
U_phi_000157.tif,65536,24.361496,1596555.000000
U_phi_000158.tif,65536,23.762283,1557285.000000
U_phi_000159.tif,65536,24.046326,1575900.000000
U_phi_000160.tif,65536,23.256454,1524135.000000
U_phi_000161.tif,65536,24.563828,1609815.000000
U_phi_000162.tif,65536,24.030762,1574880.000000
U_phi_000163.tif,65536,23.738937,1555755.000000
U_phi_000164.tif,65536,23.672791,1551420.000000
U_phi_000165.tif,65536,24.166946,1583805.000000
U_phi_000166.tif,65536,23.598862,1546575.000000
U_phi_000167.tif,65536,23.754501,1556775.000000
U_phi_000168.tif,65536,24.509354,1606245.000000
